,Day,group1,group2,p_value
557,2-Nov,control restriction,HFHS restriction,0.0017843142184666935
558,2-Nov,HFHS ad lib,control ad lib,0.09655520228259495
559,2-Nov,HFHS ad lib,control restriction,0.0016684702536990444
560,2-Nov,HFHS ad lib,HFHS restriction,0.4048326021294939
561,2-Nov,HFHS restriction,control ad lib,0.06625919659210724
562,2-Nov,HFHS restriction,control restriction,0.0017843142184666935
563,2-Nov,HFHS restriction,HFHS ad lib,0.4048326021294939
564,3-Nov,control ad lib,control restriction,0.025908235684109524
565,3-Nov,control ad lib,HFHS ad lib,0.05606553780301399
566,3-Nov,control ad lib,HFHS restriction,0.04238355448835526
567,3-Nov,control restriction,control ad lib,0.025908235684109524
568,3-Nov,control restriction,HFHS ad lib,0.001024688035719357
569,3-Nov,control restriction,HFHS restriction,0.0013330488232649095
570,3-Nov,HFHS ad lib,control ad lib,0.05606553780301399
571,3-Nov,HFHS ad lib,control restriction,0.001024688035719357
572,3-Nov,HFHS ad lib,HFHS restriction,0.4616474850574333
573,3-Nov,HFHS restriction,control ad lib,0.04238355448835526
574,3-Nov,HFHS restriction,control restriction,0.0013330488232649095
575,3-Nov,HFHS restriction,HFHS ad lib,0.4616474850574333
576,4-Nov,control ad lib,control restriction,0.017034597572071968
577,4-Nov,control ad lib,HFHS ad lib,0.061483512420692096
578,4-Nov,control ad lib,HFHS restriction,0.07245639037335934
579,4-Nov,control restriction,control ad lib,0.017034597572071968
580,4-Nov,control restriction,HFHS ad lib,0.0012183674044945047
581,4-Nov,control restriction,HFHS restriction,0.0017843142184666935
582,4-Nov,HFHS ad lib,control ad lib,0.061483512420692096
583,4-Nov,HFHS ad lib,control restriction,0.0012183674044945047
584,4-Nov,HFHS ad lib,HFHS restriction,0.40494706521423735
585,4-Nov,HFHS restriction,control ad lib,0.07245639037335934
586,4-Nov,HFHS restriction,control restriction,0.0017843142184666935
587,4-Nov,HFHS restriction,HFHS ad lib,0.40494706521423735
588,5-Nov,control ad lib,control restriction,0.015169394704348298
589,5-Nov,control ad lib,HFHS ad lib,0.08869987017321762
590,5-Nov,control ad lib,HFHS restriction,0.0853281410736016
591,5-Nov,control restriction,control ad lib,0.015169394704348298
592,5-Nov,control restriction,HFHS ad lib,0.0016684702536990444
593,5-Nov,control restriction,HFHS restriction,0.0017843142184666935
594,5-Nov,HFHS ad lib,control ad lib,0.08869987017321762
595,5-Nov,HFHS ad lib,control restriction,0.0016684702536990444
596,5-Nov,HFHS ad lib,HFHS restriction,0.386211390099631
597,5-Nov,HFHS restriction,control ad lib,0.0853281410736016
598,5-Nov,HFHS restriction,control restriction,0.0017843142184666935
599,5-Nov,HFHS restriction,HFHS ad lib,0.386211390099631
600,6-Nov,control ad lib,control restriction,0.03170811585927005
601,6-Nov,control ad lib,HFHS ad lib,0.05083309918606612
602,6-Nov,control ad lib,HFHS restriction,0.05598067713187416
603,6-Nov,control restriction,control ad lib,0.03170811585927005
